,
synthetic.social.test_confusion_matrixR.txt,
Overall Accuracy:,0.663
,
Class: 1,
Accuracy,0.821
Specificity,0.8811475409836066
Precision,0.6692015209125475
Recall,0.6567164179104478
F1-score,0.6567164179104478
F / 0.5,0.6666666666666666
F / 2,0.6591760299625469
,
Class: 2,
Accuracy,0.812
Specificity,0.8768211920529801
Precision,0.6172839506172839
Recall,0.6122448979591837
F1-score,0.6122448979591837
F / 0.5,0.6162695152013147
F / 2,0.6132461161079313
,
Class: 3,
Accuracy,0.854
Specificity,0.90625
Precision,0.6869565217391305
Recall,0.6810344827586207
F1-score,0.6810344827586207
F / 0.5,0.685763888888889
F / 2,0.6822107081174439
,
Class: 4,
Accuracy,0.839
Specificity,0.8859060402684564
Precision,0.678030303030303
Recall,0.7019607843137254
F1-score,0.7019607843137254
F / 0.5,0.6826849733028222
F / 2,0.6970404984423674
,
synthetic.social.test_confusion_matrixR.txt,
Overall Accuracy:,0.627
,
Class: 1,
Accuracy,0.805
Specificity,0.8633879781420765
Precision,0.6336996336996337
Recall,0.6455223880597015
F1-score,0.6455223880597015
F / 0.5,0.6360294117647058
F / 2,0.6431226765799257
,
Class: 2,
Accuracy,0.803
Specificity,0.8807947019867549
Precision,0.6052631578947368
Recall,0.563265306122449
F1-score,0.563265306122449
F / 0.5,0.5963699222126189
F / 2,0.5711920529801324
,
Class: 3,
Accuracy,0.827
Specificity,0.87890625
Precision,0.6204081632653061
Recall,0.6551724137931034
F1-score,0.6551724137931034
F / 0.5,0.6270627062706271
F / 2,0.6479113384484227
,
Class: 4,
Accuracy,0.819
Specificity,0.8791946308724832
Precision,0.6456692913385826
Recall,0.6431372549019608
F1-score,0.6431372549019608
F / 0.5,0.6451612903225806
F / 2,0.6436420722135009
,
synthetic.social.test_confusion_matrixR.txt,
Overall Accuracy:,0.634
,
Class: 1,
Accuracy,0.808
Specificity,0.8620218579234973
Precision,0.6366906474820144
Recall,0.6604477611940298
F1-score,0.6604477611940298
F / 0.5,0.641304347826087
F / 2,0.6555555555555556
,
Class: 2,
Accuracy,0.801
Specificity,0.8781456953642384
Precision,0.6
Recall,0.563265306122449
F1-score,0.563265306122449
F / 0.5,0.592274678111588
F / 2,0.5702479338842975
,
Class: 3,
Accuracy,0.843
Specificity,0.8984375
Precision,0.6623376623376623
Recall,0.6594827586206896
F1-score,0.6594827586206896
F / 0.5,0.6617647058823529
F / 2,0.6600517687661777
,
Class: 4,
Accuracy,0.816
Specificity,0.87248322147651
Precision,0.6360153256704981
Recall,0.6509803921568628
F1-score,0.6509803921568628
F / 0.5,0.6389530408006159
F / 2,0.6479313036690086
,
synthetic.social.test_confusion_matrixR.txt,
Overall Accuracy:,0.598
,
Class: 1,
Accuracy,0.771
Specificity,0.7841530054644809
Precision,0.5549295774647888
Recall,0.7350746268656716
F1-score,0.7350746268656716
F / 0.5,0.5835308056872038
F / 2,0.690259285213735
,
Class: 2,
Accuracy,0.799
Specificity,0.8966887417218543
Precision,0.61
Recall,0.49795918367346936
F1-score,0.49795918367346936
F / 0.5,0.5837320574162679
F / 2,0.5169491525423728
,
Class: 3,
Accuracy,0.83
Specificity,0.9088541666666666
Precision,0.6534653465346535
Recall,0.5689655172413793
F1-score,0.5689655172413793
F / 0.5,0.6346153846153846
F / 2,0.584070796460177
,
Class: 4,
Accuracy,0.796
Specificity,0.8711409395973154
Precision,0.6049382716049383
Recall,0.5764705882352941
F1-score,0.5764705882352941
F / 0.5,0.5990220048899756
F / 2,0.5819477434679335
,
synthetic.social.test_confusion_matrixR.txt,
Overall Accuracy:,0.624
,
Class: 1,
Accuracy,0.791
Specificity,0.837431693989071
Precision,0.5993265993265994
Recall,0.664179104477612
F1-score,0.664179104477612
F / 0.5,0.6112637362637363
F / 2,0.650109569028488
,
Class: 2,
Accuracy,0.808
Specificity,0.8847682119205298
Precision,0.6167400881057269
Recall,0.5714285714285714
F1-score,0.5714285714285714
F / 0.5,0.6071118820468344
F / 2,0.5799502899751449
,
Class: 3,
Accuracy,0.826
Specificity,0.8841145833333334
Precision,0.6228813559322034
Recall,0.6336206896551724
F1-score,0.6336206896551724
F / 0.5,0.625
F / 2,0.6314432989690721
,
Class: 4,
Accuracy,0.823
Specificity,0.8912751677852349
Precision,0.6625
Recall,0.6235294117647059
F1-score,0.6235294117647059
F / 0.5,0.654320987654321
F / 2,0.6309523809523809
